"Planet_idx":"Planet_name":"Star_code":"mass (earth)":"density (earth)":"radius":"TYPE_TERRAIN":"Climate Type"
1:"Kirei Dionysios":5269:8,97:0,996:missing:"jungle; volcano":"artic; hot; humid; subartic"
457:"Sualocin XVII":2176:1,13:1,163:missing:"cave; field; plain; rocky island":"subartic; frigid; artic; frozen; temperate"
458:"Sualocin XI":2176:4,87:1,198:1,6:"volcano; verdant; island; cave; reef":"artificial temperate; windy; frozen; arid"
459:"Sualocin XII":2176:7,08:1,225:1,79:"ice cave":"frozen; frigid; temperate; superheated; arid; subartic"
460:"Rasalas Zeta":4438:1,64:0,558:1,43:"rocky canyon; rocky desert; reef; grassy hill; rocky island":"artic; superheated; frozen; temperate"
461:"Solarionis Jiu":291:0,85:1,218:0,89:"toxic cloudsea; valley; urban":"windy; temperate; artic; subartic"
462:"Shama Aphroditos":6084:9,35:0,915:2,17:"scrubland; volcano":"subartic; frigid; humid; artic; arid; temperate"
463:"Diphda San":3519:6,08:0,961:1,85:"urban; grassland; field; ocean; cave":"artic; humid; tropical; frigid"
464:"Diphda Yi":3519:3,44:1,045:1,49:"mountain; city":"artic; windy; subartic; artificial temperate; humid; frozen"
465:"Diphda Wu":3519:9,84:1,474:1,88:"ice canyon; rainforest; lakes":"hot; frozen; humid; frigid"
466:"Diphda Shi":3519:missing:1,412:0,9:"river; lava river; reef; mountain; island":"rocky; frozen; frigid; hot"
467:"Tupã Jiu":1489:4,23:1,14:1,55:"island; tundra":"superheated; artic; hot"
468:"Tupã Ba":1489:1,46:1,158:1,08:"urban; bog; hill; ash; rainforest; volcano":"temperate; hot; rocky; superheated; frozen"
469:"Tupã Yi":1489:2,44:1,085:1,31:"lakes; fungus forest; mountain":"subartic; humid; artic"
470:"Kōri Resonance Gaian":8792:5,48:0,938:1,8:"ice canyon; grassland; tundra":"temperate; artic; subartic"
471:"Kōri Resonance Sirenios":8792:3,24:1,027:1,47:"bog; rock arche":"hot; tropical; temperate; rocky; superheated; windy; subartic"
472:"Kōri Resonance Irisian":8792:0,56:1,057:0,81:"ice cave; vine; island; lakes; savanna":"tropical; superheated; frigid; artic; hot; frozen"
473:"Atlas Decimal":2143:2,41:0,837:1,42:"plateau; reef; rainforest; acid pool; sea":"temperate; tropical; arid; superheated; frigid"
474:"Atlas Duodecimal":2143:8,41:0,981:2,05:"reef":"hot"
475:"Atlas Tertial":2143:3,4:0,988:1,51:"toxic cloudsea; hill; tundra; lakes; rocky desert; rock arche; forest; verdant":"tropical; artic; rocky; artificial temperate; frozen; hot"
476:"Atlas Octal":2143:5,96:1,346:1,64:"valley; hill; lava river; desert; rainforest; volcano":"temperate; arid; superheated; subartic; frozen"
477:"Spica Hestian":7930:8,07:1,282:1,85:"volcano; ocean; canyons; sinkholes; hill; glacier; jungle; plateau; cityscape; field":"subartic; rocky; frozen; hot; arid; tropical; humid"
478:"Spica Nereidos":7930:2,28:1,211:1,23:"savanna; ash; ice canyon; jungle":"frigid; hot; rocky; artificial temperate"
479:"Spica Dionian":7930:6,42:0,788:2,01:"jungle; plateau; bog; city; river; lakes; sea":"humid; subartic; temperate; superheated; hot"
480:"Cosmosis Sirenios":4247:2,25:0,926:1,34:"verdant; rock arche":"rocky; temperate"
481:"Rapeto III":953:5,53:1,351:1,6:"forest; scrubland; grassy hill; vine; mountain":"rocky; humid; arid"
482:"Solaraether Omicron":3559:1,24:1,075:1,05:"verdant; tundra":"arid; windy; subartic"
483:"Solaraether Kappa":3559:6,86:0,602:2,25:"reef; cliff; tundra":"arid; artificial temperate; subartic; temperate; artic"
484:"Solaraether Eta":3559:4,15:1,027:1,59:"hill":"frozen; artificial temperate; frigid; humid; artic"
485:"Eagleeye XXI":2094:4,26:1,085:1,58:"city; rocky desert; tundra; rock arche":"frigid; artic; frozen; subartic"
486:"Eagleeye XVI":2094:1,1:0,938:1,05:"toxic cloudsea":"windy; frigid; frozen; subartic; superheated"
487:"Eagleeye XIX":2094:4,96:1,311:1,56:"rock arche; rocky island; hill":"hot; frozen; artificial temperate; temperate"
488:"Eagleeye XVIII":2094:6,93:1,134:1,83:"city; lakes; ocean":"artic; frozen; frigid; temperate"
489:"Nebulion Nonal":1955:6,51:0,869:1,96:"valley; savanna; verdant":"rocky; artificial temperate; frozen; temperate"
490:"Phact Theta":5805:4,3:0,754:1,79:"rocky island; hill; ocean; rock arche":"superheated; hot; artificial temperate"
491:"Kitalpha Ba":6671:3,85:0,829:1,67:"grassy hill":"tropical; rocky; humid; windy; subartic; hot"
492:"Kitalpha Wu":6671:6,56:1,004:1,87:"scrubland":"artificial temperate; arid; frozen"
493:"Kitalpha Er":6671:1:1,338:0,91:"reef":"humid; hot"
494:"Kitalpha Yi":6671:5,2:1,173:1,64:"city; cityscape":"artificial temperate"
495:"Kitalpha Liu":6671:0,56:1,081:0,8:"glacier; forest; urban; lava river":"arid; superheated; hot; frigid; artificial temperate"
496:"Asterion Enigma Nu":627:missing:1,127:1,83:"island; plain":"hot; artic; frigid"
497:"Helian Nebula Echoian":1183:5,86:0,834:1,92:"rocky island; ice canyon":"artic; frozen; rocky; windy"
498:"Helian Nebula Zephyrian":1183:1,03:0,733:1,12:"valley":"artic; tropical; frozen; windy"
499:"Helian Nebula Orphean":1183:6,28:0,693:2,08:"tundra; plain; desert; grassland; plateau":"temperate; arid; frigid"
500:"Ephemeral Labyrinth Typhonian":6587:5,44:1,604:1,5:"city; plain":"artificial temperate; temperate; frozen; superheated; windy"
501:"Ephemeral Labyrinth Artemian":6587:3,13:0,612:1,72:"lava river; rocky canyon; river":"temperate; frozen; arid; rocky"
502:"Ephemeral Labyrinth Asclepian":6587:1,08:0,545:1,26:"acid pool; plain":"superheated; humid; artificial temperate; hot; frozen; subartic; windy"
503:"Enigmatic Abyss Si":5714:7,21:0,848:2,04:"city; island; reef; lakes; ice canyon":"windy; rocky; superheated; frozen; tropical"
504:"Enigmatic Abyss San":5714:1,04:0,734:1,12:"volcano; rocky desert; lakes; ice canyon":"frozen; windy; superheated; subartic"
505:"Meleph Qi":3277:4,23:0,538:1,99:"scrubland":"arid; subartic; windy"
506:"Meleph Wu":3277:2,28:0,6:missing:"desert":"subartic; arid"
507:"Meleph Si":3277:1,71:0,598:1,42:"desert; river; rocky desert; tundra; grassy hill; volcano; verdant":"superheated; temperate; rocky; humid; tropical"
508:"Meleph Yi":3277:4,64:1,041:1,65:"sea":"rocky; hot; superheated; humid; subartic; temperate"
509:"Meleph Liu":3277:7,5:0,817:2,09:"volcano; hill":"frozen; arid"
510:"Lyraflux Poseidian":660:7,37:0,902:2,01:"urban; sea":"temperate; frigid"
511:"Alnair Si":9147:2,05:1,134:1,22:"volcano":"superheated; windy"
512:"Alnair Yi":9147:missing:1,218:0,92:"ash; jungle; jungle; city; sinkholes; barren":"arid; hot; subartic; superheated; windy"
513:"Tapecue Yi":94:0,96:1,291:0,91:"rocky island; ash; plateau; toxic cloudsea; sea; hill; mountain":"superheated; frozen; subartic; humid; artificial temperate"
514:"Tapecue Qi":94:7,63:0,8:2,12:"tundra; hill; jungle":"frigid; rocky; arid; hot; windy"
515:"Tapecue Shi":94:0,97:1,042:0,98:"verdant":"temperate; artic; tropical; arid; superheated; humid"
516:"Tapecue Er":94:8,47:1,081:1,99:"plateau":"superheated; frozen; tropical"
517:"Celestial Serenity Xi":6128:2,9:1,114:1,38:"plateau; rainforest; toxic cloudsea; rocky island; cave":"tropical; windy; artic; frozen; humid"
518:"Nova Prism Athenian":4828:8,59:1,043:missing:"hill; reef; rocky canyon; lakes; sea; mountain":"frigid; humid; temperate; frozen; hot; artificial temperate"
519:"Skjoldr Omicron":7586:7,64:0,858:2,07:"island; verdant; grassland; jungle":"frozen; humid; tropical; superheated"
520:"Skjoldr Gamma":7586:7,46:0,626:2,28:"island":"hot"
521:"Zenithrion Er":3430:3,64:0,845:1,63:"cave; sea":"superheated; humid; artic; artificial temperate"
522:"Zenithrion Qi":3430:6,65:1,702:1,57:"canyons; rocky island; ash":"artificial temperate; superheated"
523:"Zenithrion Wu":3430:9,1:0,664:2,39:"bog; jungle; cliff; toxic cloudsea; forest; urban":"superheated; rocky; subartic; temperate; artic"
524:"Zenithrion Si":3430:3,1:1,416:1,3:"ice cave; rocky desert; grassy hill":"rocky; artic; temperate; arid"
525:"Cosmic Shadows IX":7188:3,08:1,205:1,37:"plateau; rock arche; verdant; sea; rocky island; rocky desert; grassland; lava river; ocean":"artic; temperate; frozen; tropical; arid; artificial temperate; subartic"
526:"Natasha Nu":3642:6,74:0,769:2,06:"city; urban; plain; rocky desert; ocean":"frigid; temperate; artic; tropical"
527:"Natasha Iota":3642:2,75:1,332:1,27:"urban; toxic cloudsea; savanna; acid pool":"frozen; arid; frigid; artic; artificial temperate; humid"
528:"Natasha Theta":3642:3,13:1,18:1,38:"sinkholes; rocky desert; cityscape; urban; vine":"hot; artic; frozen; windy; frigid"
529:"Natasha Delta":3642:3,06:0,841:1,54:"plateau; rock arche; cave; island":"frozen; tropical; arid; humid"
530:"Natasha Epsilon":3642:2,52:0,969:1,38:"mountain; forest; scrubland":"frigid; arid; artic; temperate"
531:"Bastet's Mirage Mu":9475:3,43:1,147:missing:"mountain; city":"hot; tropical; subartic; temperate"
532:"Nebulaflux Qi":2411:1,74:0,773:1,31:"mountain":"tropical"
533:"Hawkfire Irisian":3294:3,32:1,161:1,42:"plateau; glacier":"humid; frozen"
534:"Hawkfire Apollox":3294:1,85:0,993:1,23:"river":"hot"
535:"Aldulfin Qi":1198:5,61:1,171:1,69:"urban; rocky desert; river; hill; lava river":"arid; frigid; frozen; subartic; artic"
536:"Aldulfin Er":1198:6,49:1,237:1,74:"river; field":"rocky; hot"
537:"Aldulfin Ba":1198:1,48:0,9:1,18:"verdant; tundra":"artic"
538:"Porrima Aetherios":5005:4,15:1,218:1,5:"plain":"temperate; superheated; frigid"
539:"Porrima Centaurios":5005:missing:0,949:missing:"ocean":"artic; arid; tropical"
540:"Pulsar Serenity Undecimal":2152:2,52:1,445:1,2:"lakes; glacier; cliff; cityscape; ice cave":"artic; windy; frozen; frigid"
541:"Orion's Gaze San":6370:2,25:1,27:1,21:"river; grassland; plateau; savanna":"rocky; artificial temperate; humid; artic"
542:"Orion's Gaze Wu":6370:1,11:0,922:1,06:"island; barren; desert":"arid; temperate; humid; windy"
543:"Orion's Gaze Si":6370:3,18:1,246:1,37:"verdant":"rocky; subartic"
544:"Orion's Gaze Ba":6370:1,38:1,101:1,08:"field; cliff; acid pool; fungus forest; reef; plateau; city":"superheated; arid; hot; artic; subartic"
545:"Orion's Gaze Yi":6370:0,7:0,724:0,99:"grassy hill; rainforest; jungle; reef; field; ocean; vine; rock arche":"rocky; frozen; humid; subartic; temperate; artificial temperate"
546:"Shogun's Resonance IV":2541:5,8:0,828:1,91:"island; cave; canyons; sea":"artic; windy; subartic; humid; temperate"
547:"Castula Helios":9837:7,15:1,013:1,92:"toxic cloudsea; reef":"frigid; temperate; artificial temperate; artic"
548:"Tarazed Delta":5146:1,98:0,886:1,31:"rainforest; island; glacier; hill; cliff":"frozen; artic; temperate; tropical; superheated; artificial temperate; hot"
549:"Tarazed Gamma":5146:2,51:0,605:1,61:"tundra; cityscape; plateau":"artic; frozen; rocky"
550:"Tarazed Mu":5146:1,73:1,027:1,19:"swamp; cliff; grassy hill; canyons":"humid; hot; tropical; superheated"
551:"Toliman Chi":3368:missing:1,119:1,85:"forest; rock arche":"superheated; artificial temperate; subartic; temperate"
552:"Toliman Eta":3368:5,27:1,012:1,73:"sinkholes; verdant":"superheated; subartic; temperate"
553:"Toliman Omega":3368:1,48:1,096:1,11:"bog; grassy hill; lava river; valley; canyons; savanna":"humid; rocky; temperate; arid"
554:"Hikari Pegasusian":6607:2,59:1,038:1,36:"lakes":"artic; frozen; subartic; arid; temperate"
555:"Aetherion Psychean":4745:0,72:1,223:0,84:"plain; sea":"temperate"
556:"Aetherion Olympus":4745:3,37:1,422:1,33:"lakes":"hot; tropical; frozen; frigid"
557:"Quantumith XXII":1522:1,23:0,828:1,14:"rocky canyon; rainforest":"frigid; subartic; tropical"
558:"Absolutno Tertial":5977:1,12:1,031:1,03:"canyons":"superheated; tropical; humid; artificial temperate; hot"
559:"Absolutno Nonal":5977:8,92:0,879:2,16:"cliff; cave; river":"artic; windy; rocky; frigid"
560:"Absolutno Undecimal":5977:7,45:1,062:1,91:"sea":"humid; rocky; arid; frigid; windy"
561:"Galacticon Asclepian":4210:5,82:0,607:2,12:"rocky desert; grassy hill; river; canyons; plateau":"arid; artificial temperate; hot; frigid; humid; superheated"
562:"Galacticon Dionysios":4210:0,93:1,06:0,96:"cliff; forest; ice cave":"windy; rocky; frigid"
563:"Galacticon Hestian":4210:6,96:0,711:2,14:"grassy hill":"tropical; arid; temperate"
564:"Sadr Sextant":1108:0,84:1,384:0,85:"ice cave":"tropical; frigid; artic; windy; rocky"
565:"Sadr Decimal":1108:3,09:1,208:1,37:"toxic cloudsea; rocky island; cityscape; savanna":"hot; artic; humid; arid; artificial temperate; subartic"
566:"Sadr Undecimal":1108:1,79:0,572:1,46:"rainforest; rocky desert; lava river; tundra; verdant; lakes":"subartic; rocky; frozen; artic; windy; superheated; tropical"
567:"Sadr Quintal":1108:6,84:0,524:2,35:"ocean; lava river":"hot; humid; superheated"
568:"Sadr Nonal":1108:3,4:0,999:1,5:"valley; rock arche; rocky desert":"artic; humid; artificial temperate; frigid; tropical; hot"
569:"Alnilam XXIII":2934:2,82:0,943:1,44:"desert; lava river":"frigid; hot"
570:"Alnilam VI":2934:3,77:0,972:1,57:"verdant":"rocky; subartic"
571:"Alnilam IV":2934:8,74:0,942:2,1:"cityscape; field; hill; cave":"hot; arid; tropical"
572:"Alnilam X":2934:7,5:0,899:missing:"verdant; acid pool; savanna; rocky canyon; toxic cloudsea; canyons; urban; cliff":"frozen; hot; arid; windy; artic; subartic"
573:"Haedus Persephonian":7461:1,74:1,169:1,14:"tundra":"arid; superheated; humid; frigid"
574:"Azelfafage Shi":5433:4,04:0,866:1,67:"cliff; cityscape; grassland":"windy; humid; frigid; artic; temperate"
575:"Azelfafage San":5433:1,21:1,006:1,06:"savanna; reef":"arid; artificial temperate"
576:"Azelfafage Qi":5433:0,36:0,963:0,72:"cave":"superheated; windy"
577:"Azelfafage Yi":5433:0,39:1,543:0,63:"mountain; river; canyons":"arid; rocky; artificial temperate; humid"
578:"Azelfafage Ba":5433:1,99:0,547:1,54:"reef":"subartic; artificial temperate; humid"
579:"Maasym XXI":2475:4,3:1,29:1,49:"river; rainforest; lakes; island":"artic; windy; superheated; humid"
580:"Quantum Radiance Hadean":4121:2,63:1,184:1,3:"ocean; reef; plain; rocky island; verdant":"artic; frozen; temperate; rocky; windy"
581:"Grumium Gamma":1135:0,73:1,264:0,83:"lakes":"frigid; artificial temperate; frozen; rocky"
582:"Grumium Omicron":1135:4,56:0,546:2,03:"field; cliff; swamp":"subartic; tropical; arid"
583:"Grumium Sigma":1135:5,63:0,754:1,95:"glacier; vine; valley":"subartic; rocky; artificial temperate"
584:"Grumium Rho":1135:3,01:1,437:1,28:"vine":"arid; artic; frozen"
585:"Grumium Kappa":1135:2,38:0,669:1,53:"plateau; hill":"superheated; rocky; arid"
586:"Frostbinder XX":5706:2,38:0,745:1,47:"fungus forest":"hot; windy; subartic; superheated"
587:"Khambalia Hermian":1591:8,1:1,328:1,83:"mountain":"hot; arid; tropical; windy"
588:"Khambalia Orphean":1591:5,12:0,688:1,95:"rock arche; urban; cliff; jungle":"windy; subartic; tropical; artic; frozen; humid"
589:"Khambalia Faunios":1591:2,71:1,09:1,35:"field; forest; fungus forest; desert; bog; reef; lakes; city":"subartic; frigid; hot; arid; tropical"
590:"Khambalia Olympus":1591:2,43:1,099:1,3:"acid pool; rocky desert; urban; cave; volcano; toxic cloudsea; mountain; tundra":"frozen; rocky; frigid; hot; windy; arid"
591:"Geisha's Echo Shi":6810:4,23:1,08:1,58:"rock arche; fungus forest; urban; rocky island":"humid; windy; tropical; artic"
592:"Geisha's Echo Ba":6810:2,9:0,767:1,56:"canyons; volcano; swamp; field; forest; grassy hill; plateau; mountain; ice canyon":"tropical; arid; rocky; humid; frigid; superheated; temperate"
593:"Geisha's Echo Jiu":6810:1,36:0,804:1,19:"verdant; lakes; plain; rocky island; urban; mountain; reef; cave":"superheated; subartic; artificial temperate; frigid; tropical"
594:"Miram Olympios":2767:6,11:0,829:1,95:"reef; barren; plain; glacier; volcano; hill":"subartic; artificial temperate; frigid; arid; windy"
595:"Radiara Er":4278:1,39:0,523:1,39:"cliff; scrubland; lakes; urban; cave":"artificial temperate; tropical; rocky; arid"
596:"Radiara Ba":4278:1,28:1,356:0,98:"rainforest; river; bog; ice canyon; plateau; fungus forest; volcano; swamp":"arid; artic; temperate; humid; artificial temperate; tropical"
597:"Pyramid Radiance Hestian":8768:5,5:0,781:1,92:"cityscape; mountain":"rocky; arid; tropical; frozen"
598:"Pyramid Radiance Dionysios":8768:6,09:1,299:1,67:"jungle; cliff; forest":"rocky; superheated"
599:"Celestial Echo Zeta":177:1,05:0,779:1,1:"rock arche; city":"frigid; frozen"
600:"Celestial Echo Kappa":177:1,9:0,979:1,25:"cityscape; verdant; fungus forest; field; valley":"tropical; humid; subartic; frigid"
601:"Celestial Echo Nu":177:3,06:1,029:1,44:"glacier; valley":"humid; artic; superheated; tropical"
602:"Celestial Echo Sigma":177:5,99:0,49:2,3:"cliff":"artificial temperate; frozen; hot; arid"
603:"Celestial Echo Omicron":177:5,29:1,108:1,68:"cave; ice cave; toxic cloudsea; jungle; verdant":"subartic; windy; rocky; superheated; frozen; humid; artificial temperate"
604:"Elkurud Undecimal":288:8,26:1,335:1,84:"mountain":"rocky; temperate; artificial temperate; hot"
605:"Elkurud Nonal":288:0,39:0,692:0,83:"ice cave":"superheated; artic; arid"
606:"Elkurud Duodecimal":288:8,13:1,08:1,96:"rocky island; cave":"rocky; subartic; windy"
607:"Elkurud Prime":288:7,5:0,783:2,12:"volcano; rainforest; rocky island; jungle; grassland":"arid; tropical; subartic; temperate; windy"
608:"Elkurud Quintal":288:6,62:1,083:1,83:"rocky island; cliff; canyons":"rocky; subartic; hot; windy"
609:"Inari's Threshold II":2189:1,22:1,234:1:"ocean; mountain":"frozen; humid"
610:"Inari's Threshold XVIII":2189:6,8:0,873:1,98:"rainforest; lava river; plateau; reef; cliff; rocky canyon":"humid; frigid; frozen; tropical; hot; subartic; temperate"
611:"Penumbrion Yi":1820:6,79:1,033:1,87:"field; sea":"artificial temperate; frozen; frigid; rocky; subartic; hot"
612:"Penumbrion Liu":1820:0,63:0,856:0,9:"ocean; reef":"rocky; frozen; temperate"
613:"Penumbrion Jiu":1820:3,94:1,075:1,54:"grassland; mountain":"humid; rocky; artic"
614:"Penumbrion Wu":1820:2,31:1,177:1,25:"city; sinkholes; ice canyon; plateau; rock arche":"subartic; superheated; frozen; rocky"
615:"Penumbrion San":1820:2,71:1,102:1,35:"rocky canyon; cliff":"tropical; frozen; windy; artificial temperate"
616:"Celestrium Epsilon":4412:3,84:0,596:1,86:"ice canyon; plain":"frigid"
617:"Starshara Yi":7658:2,73:0,867:1,47:"ice cave; rocky island; urban; valley":"arid; humid; frigid; artificial temperate; subartic"
618:"Hassaleh San":5051:4,66:1,056:1,64:"cliff; cave; valley; canyons; lakes":"artic; temperate; arid; subartic"
619:"Hassaleh Er":5051:1,51:0,895:1,19:"urban; field; city; canyons":"artificial temperate; superheated; humid; tropical"
620:"Hassaleh Wu":5051:1,55:0,662:1,33:"bog; hill; ocean; ice cave; rock arche; forest":"temperate; arid; superheated; subartic"
621:"Hassaleh Yi":5051:7,7:0,977:1,99:"toxic cloudsea":"frozen"
622:"Hassaleh Shi":5051:5,15:0,68:1,96:"rocky island; cityscape; fungus forest; valley; ash; plain":"artic; tropical; superheated; arid; humid"
623:"Azha XVII":1315:1,73:0,788:1,3:"rocky island; bog; city; grassland; plain; rock arche; valley; field":"rocky; temperate; subartic; windy; artificial temperate; humid"
624:"Azha XX":1315:0,59:0,652:0,97:"lakes":"frozen"
625:"Azha XVIII":1315:1,57:1,407:1,04:"plain; forest":"windy; temperate"
626:"Azha XXIII":1315:7,91:0,842:2,11:"jungle; verdant; island":"artic; subartic; hot"
627:"Almaaz XI":7311:2,31:1,325:1,2:"sea; grassy hill":"superheated; subartic; temperate; tropical; artic"
628:"Almaaz XV":7311:1,01:1,035:0,99:"cliff":"rocky; humid; temperate; tropical; artic; frozen"
629:"Almaaz XIV":7311:2,48:0,842:1,43:"valley; plateau":"tropical; superheated; artificial temperate; arid"
630:"Taygeta VI":5253:2,11:0,977:1,29:"lakes; rocky desert; mountain":"superheated; windy; frozen"
631:"Taygeta X":5253:4,59:1,015:1,65:"sinkholes; tundra":"hot; rocky; windy"
632:"Hunahpú Dionian":4998:3,47:1,302:1,39:"reef; forest":"humid; rocky"
633:"Hunahpú Tritonian":4998:missing:1,256:0,85:"ice cave; vine; field":"windy; hot; frigid; humid"
634:"Aetherial Mirage XVIII":7221:9,11:0,989:2,1:"savanna; glacier":"temperate; artic; superheated; windy; artificial temperate"
635:"Ukdah XXI":3883:1,73:0,636:1,4:"rocky island; volcano; reef; fungus forest":"tropical; humid; superheated; rocky; windy; frigid"
636:"Phoenicia Irisian":1241:2,7:0,742:1,54:"urban; jungle; grassy hill; cave; sea; savanna":"arid; frigid; humid; hot; tropical; rocky"
637:"Phoenicia Persephonian":1241:2,37:1,341:1,21:"rainforest; sea; river; jungle; island":"humid; windy; frigid; tropical"
638:"Phoenicia Hadean":1241:1,13:1,159:0,99:"ocean; plateau; acid pool; grassy hill; jungle; reef; mountain; field; ice canyon":"rocky; frigid; frozen; humid; artic; superheated"
639:"Phoenicia Tritonian":1241:4,56:0,92:1,7:"urban; savanna; acid pool":"frigid; rocky"
640:"Ma'at's Celestial Xi":7107:3,56:1,483:1,34:"ice canyon; toxic cloudsea; tundra; scrubland; forest; rocky island; vine; swamp":"temperate; arid; frigid; rocky; artic; humid; subartic"
641:"Ma'at's Celestial Tau":7107:4,58:0,886:1,73:"reef; river; field; acid pool":"rocky; artificial temperate; hot; temperate"
642:"Algenib Nyxios":5429:3,22:0,648:1,71:"forest; mountain":"frozen; windy; arid; rocky"
643:"Bonsai Celestial Upsilon":2881:8,21:0,872:2,11:"rocky canyon; acid pool":"artificial temperate; rocky; temperate"
644:"Bonsai Celestial Rho":2881:3,95:1,22:1,48:"rock arche; grassy hill; cliff; valley; island":"hot; artificial temperate; frigid"
645:"Inari's Labyrinth Liu":6096:0,58:1,753:0,69:"lakes; sea; ice canyon; lava river; jungle":"superheated; tropical; frozen; rocky"
646:"Inari's Labyrinth Si":6096:2,51:1,024:1,35:"rainforest; lakes":"artificial temperate; frozen; arid; superheated; humid; temperate"
647:"Ignitionara Tau":9745:2,08:0,909:1,32:"bog; sea; lava river; ocean; ice canyon; cliff":"humid; hot; frigid; artificial temperate"
648:"Ignitionara Omega":9745:1,85:1,358:1,11:"island; reef; valley; desert; rocky desert":"artificial temperate; rocky; arid; windy"
649:"Ignitionara Chi":9745:3,69:0,718:1,73:"ash; urban":"hot; artic; frozen"
650:"Osiris Cascade Decimal":1006:2,27:0,563:1,59:"ice canyon; rock arche; rocky desert; field; ocean; glacier; valley; rocky canyon":"artificial temperate; frigid; arid; humid; rocky; temperate"
651:"Thunderforge Tau":3458:5,3:1,072:1,7:"jungle":"hot; subartic; artificial temperate; humid"
652:"Thunderforge Gamma":1090:3,56:0,962:1,55:"rocky island; forest; cliff":"humid; windy; temperate"
653:"Fumalsamakah San":9509:7,41:0,658:2,24:"grassy hill":"humid; arid; frigid; artificial temperate; rocky; temperate"
654:"Fumalsamakah Jiu":9509:3,06:1,532:1,26:"lava river":"rocky; frigid; subartic; artificial temperate; arid"
655:"Fumalsamakah Shi":9509:4,28:0,756:1,78:"ocean; acid pool; rocky canyon":"hot; superheated; tropical; artic; frozen"
656:"Sora Nonal":6884:2,44:0,996:1,35:"urban; canyons":"windy; temperate; subartic; artificial temperate"
657:"Sora Sextant":6884:1,22:0,855:1,13:"jungle; tundra":"windy; humid; superheated; rocky"
658:"Timir VI":4656:0,94:0,641:1,14:"verdant; island":"humid"
659:"Timir XI":4656:1,77:0,676:missing:"tundra; mountain":"subartic; frozen; artic; humid; tropical"
660:"Timir XVII":4656:1,22:1,24:0,99:"cityscape; rocky canyon; canyons":"artificial temperate; subartic"
661:"Timir XVIII":4656:1,3:1,147:1,04:"verdant; cityscape; glacier":"artic; subartic; hot"
662:"Lunaris Omega":5566:5,24:0,837:1,84:"ocean":"artificial temperate; temperate"
663:"Irena Cerberian":4364:1,54:0,974:1,16:"hill; lakes":"artificial temperate; frigid"
664:"Irena Herculean":4364:1,46:1,104:1,1:"vine":"arid; tropical; windy; artificial temperate"
665:"Irena Hermian":4364:1,05:1,122:0,98:"urban; ice cave":"subartic"
666:"Orionyx Astraeos":2993:7,97:0,997:2:"field; rocky desert; glacier; city; ice cave":"tropical; humid; artificial temperate; superheated; artic"
667:"Orionyx Poseidian":2993:1,94:1,106:1,21:"barren; rainforest":"arid; superheated; windy"
668:"Orionyx Asclepian":2993:0,92:1,354:0,88:"lakes":"tropical"
669:"Ebon Labyrinth Theta":9406:2,83:0,969:1,43:"cave; cliff":"artic; tropical; arid; windy; rocky"
670:"Altair XX":4735:1,71:0,994:1,2:"forest; sea; island; river; plain":"subartic; temperate; artic; rocky"
671:"Icarian Cipher Jiu":5518:1,66:0,745:1,31:"toxic cloudsea; urban; field; sea; plateau; vine; forest; island; reef; verdant":"artic; superheated; rocky; subartic; frigid; artificial temperate; arid"
672:"Icarian Cipher Ba":5518:3:0,971:1,46:"rocky canyon":"windy; temperate; artificial temperate; frozen"
673:"Icarian Cipher Er":5518:6,26:0,901:1,91:"ice cave; valley; volcano; rock arche; reef; island; ocean; field":"frozen; hot; artificial temperate; temperate; rocky; arid"
674:"Icarian Cipher Liu":5518:3,51:1,189:1,43:"fungus forest; cliff; forest; cave; plateau; rocky desert; hill":"frozen; rocky; humid; tropical; arid; artic"
675:"Icarian Cipher Yi":5518:2,71:0,728:1,55:"sinkholes":"windy; superheated"
676:"Inari's Cascade Jiu":8155:2,46:0,908:1,39:"island; hill; field; cliff; lakes":"frigid; artificial temperate; windy; frozen; humid; artic"
677:"Inari's Cascade Qi":8155:2,56:0,942:1,4:"urban; rock arche; tundra; scrubland; sinkholes; rocky island; grassy hill; verdant; river":"hot; arid; temperate; windy; artificial temperate; artic; rocky"
678:"Ronin's Veil Orphean":1818:missing:0,893:1,7:"mountain; forest; savanna":"rocky; windy; artic; superheated"
679:"Bastet's Horizon Quartal":4427:3,38:0,809:1,61:"city; island":"subartic; temperate; arid; tropical"
680:"Sylvarix Janusian":1977:6,32:1,052:1,82:"ice cave; reef; valley":"artic; tropical; artificial temperate; rocky"
681:"Cosmic Elegance Qi":7002:8:1,025:missing:"swamp; ocean; desert; lava river; verdant; grassy hill; sea; valley; island; glacier":"subartic; tropical; hot; frozen; frigid; superheated; artic"
682:"Mirfak Pi":3167:1,18:1,461:0,93:"glacier; volcano; island; valley; rock arche; rocky island; rainforest; field":"frigid; artificial temperate; arid; superheated; temperate"
683:"Thunderpeak Xi":346:3,14:0,941:1,49:"plateau; plain; ice cave; vine":"artificial temperate; humid; frozen"
684:"Thunderpeak Mu":346:6,66:0,567:2,27:"cliff; forest; city; cityscape":"arid; rocky; artic; superheated; temperate; frozen; artificial temperate"
685:"Thunderpeak Psi":346:4,1:0,778:1,74:"tundra; rock arche; rocky desert; glacier":"superheated; humid; rocky; windy; temperate; frozen; arid"
